Alpha,Gamma,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,Temperature,Supersaturation,OriginalPerimeter,CompactnessNormalized,BranchingFactor
0.3,0.0037,167665,4111,0.4807839923143303,100.7981451101852,333.17412864746865,13383,12.528207427333184,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.185,167665,0.12466866925524113,1.9637958487182945
0.3,0.0028,182427,5177,0.5231144327434248,146.91536340483088,333.17412864746865,14583,12.50956593293561,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.1399999999999999,182427,0.08553476180474541,2.473016567456728
0.3,0.0019,141197,5167,0.4048862753872692,189.0825513276551,333.17412864746865,16369,8.6258781843729,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.095,141197,0.06645970517128173,2.4682396376374185
0.3,0.001,106897,5711,0.306530083359228,305.1116588837375,333.17412864746865,18485,5.7829050581552615,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.05,106897,0.04118613710212114,2.728104619807876
0.3,0.0001,84815,27028,0.24320934189091295,8613.014018645134,333.17412864746865,21579,3.930441633069188,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-11.2,0.005,84815,0.0014589980449361607,12.911085915630762
0.1,0.01,251585,2277,0.7214268971246282,20.608259633839026,333.17412864746865,12208,20.608207732634337,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.5,251585,0.6097735004111001,1.0877069198568612
0.1,0.0091,248105,2303,0.7114479015486053,21.37727575010025,333.17412864746865,13099,18.94075883655241,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.455,248105,0.5878377937959294,1.100126937387067
0.1,0.0082,240845,2251,0.6906296521572474,21.038431356179125,333.17412864746865,13993,17.21182019581219,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.41,240845,0.597305493054913,1.0752869023266556
0.1,0.0073,245009,2375,0.7025700365189023,23.022113473288645,333.17412864746865,15183,16.137061186853717,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.365,245009,0.54583913978557,1.134520832086098
0.1,0.0064,237665,2459,0.6815109148205368,25.44203395525028,333.17412864746865,16669,14.257903893454916,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.32,237665,0.49392161949029206,1.174647042568301
0.1,0.0055,238403,2487,0.6836271500892451,25.944174360113152,333.17412864746865,18449,12.922272209875874,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.2749999999999999,238403,0.48436193959689466,1.1880224460623687
0.1,0.0046,237549,2671,0.6811782816346694,30.03271325061342,333.17412864746865,20533,11.569132615789217,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-10.4,0.2299999999999999,237549,0.4184227548620783,1.2759179547376707
